CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,2,19,15,39
2,2,21,15,81
3,1,20,16,6
4,1,23,16,77
5,1,31,17,40
6,1,22,17,76
7,1,35,18,6
8,1,23,18,94
9,2,64,19,3
10,1,30,19,72
11,2,67,19,14
12,1,35,19,99
13,1,58,20,15
14,1,24,20,77
15,2,37,20,13
16,2,22,20,79
17,1,35,21,35
18,2,20,21,66
19,2,52,23,29
20,1,35,23,98
21,2,35,24,35
22,2,25,24,73
23,1,46,25,5
24,2,31,25,73
25,1,54,28,14
26,2,29,28,82
27,1,45,28,32
28,2,35,28,61
29,1,40,29,31
30,1,23,29,87
31,2,60,30,4
32,1,21,30,73
33,2,53,33,4
34,2,18,33,92
35,1,49,33,14
36,1,21,33,81
37,1,42,34,17
38,1,30,34,73
39,1,36,37,26
40,1,20,37,75
41,1,65,38,35
42,2,24,38,92
43,2,48,39,36
44,1,31,39,61
45,1,49,39,28
46,1,24,39,65
47,1,50,40,55
48,1,27,40,47
49,1,29,40,42
50,1,31,40,42
51,1,49,42,52
52,2,33,42,60
53,1,31,43,54
54,2,59,43,60
55,1,50,43,45
56,2,47,43,41
57,1,51,44,50
58,2,69,44,46
59,1,27,46,51
60,2,53,46,46
61,2,70,46,56
62,2,19,46,55
63,1,67,47,52
64,1,54,47,59
65,2,63,48,51
66,2,18,48,59
67,1,43,48,50
68,1,68,48,48
69,2,19,48,59
70,1,32,48,47
71,2,70,49,55
72,1,47,49,42
73,1,60,50,49
74,1,60,50,56
75,2,59,54,47
76,2,26,54,54
77,1,45,54,53
78,2,40,54,48
79,1,23,54,52
80,1,49,54,42
81,2,57,54,51
82,2,38,54,55
83,2,67,54,41
84,1,46,54,44
85,1,21,54,57
86,2,48,54,46
87,1,55,57,58
88,1,22,57,55
89,1,34,58,60
90,1,50,58,46
91,1,68,59,55
92,2,18,59,41
93,2,48,60,49
94,1,40,60,40
95,1,32,60,42
96,2,24,60,52
97,1,47,60,47
98,1,27,60,50
99,2,48,61,42
100,2,20,61,49
101,1,23,62,41
102,1,49,62,48
103,2,67,62,59
104,2,26,62,55
105,2,49,62,56
106,1,21,62,42
107,1,66,63,50
108,2,54,63,46
109,2,68,63,43
110,2,66,63,48
111,2,65,63,52
112,1,19,63,54
113,1,38,64,42
114,2,19,64,46
115,1,18,65,48
116,1,19,65,50
117,1,63,65,43
118,1,49,65,59
119,1,51,67,43
120,1,50,67,57
121,2,27,67,56
122,1,38,67,40
123,1,40,69,58
124,2,39,69,91
125,1,23,70,29
126,1,31,70,77
127,2,43,71,35
128,2,40,71,95
129,2,59,71,11
130,2,38,71,75
131,2,47,71,9
132,2,39,71,75
133,1,25,72,34
134,1,31,72,71
135,2,20,73,5
136,1,29,73,88
137,1,44,73,7
138,2,32,73,73
139,2,19,74,10
140,1,35,74,72
141,1,57,75,5
142,2,32,75,93
143,1,28,76,40
144,1,32,76,87
145,2,25,77,12
146,2,28,77,97
147,2,48,77,36
148,1,32,77,74
149,1,34,78,22
150,2,34,78,90
151,2,43,78,17
152,2,39,78,88
153,1,44,78,20
154,1,38,78,76
155,1,47,78,16
156,1,27,78,89
157,2,37,78,1
158,1,30,78,78
159,2,34,78,1
160,1,30,78,73
161,1,56,79,35
162,1,29,79,83
163,2,19,81,5
164,1,31,81,93
165,2,50,85,26
166,1,36,85,75
167,2,42,86,20
168,1,33,86,95
169,1,36,87,27
170,2,32,87,63
171,2,40,87,13
172,2,28,87,75
173,2,36,87,10
174,2,36,87,92
175,1,52,88,13
176,1,30,88,86
177,2,58,88,15
178,2,27,88,69
179,2,59,93,14
180,2,35,93,90
181,1,37,97,32
182,1,32,97,86
183,2,46,98,15
184,1,29,98,88
185,1,41,99,39
186,2,30,99,97
187,1,54,101,24
188,2,28,101,68
189,1,41,103,17
190,1,36,103,85
191,1,34,103,23
192,1,32,103,69
193,2,33,113,8
194,1,38,113,91
195,1,47,120,16
196,1,35,120,79
197,1,45,126,28
198,2,32,126,74
199,2,32,137,18
200,2,30,137,83
